Place,latitude,longitude,name,desc
St. Antone Island,,,,
St. Carlos (Chile),-36.42615,-71.9708343,St. Carlos (Chile),San Carlos Bío Bío Region Chile
St. Clemente,33.4269728,-117.6119925,St. Clemente,San Clemente CA USA
St. Felix Island,-26.2914678,-80.0953942,St. Felix Island,Isla San Félix Región de Valparaíso Chile
St. George’s Island,,,,
St. Ignacio Island,19.2770543,-81.3854242,St. Ignacio Island,597 Walkers Rd George Town Cayman Islands
St. Jacques (Cape Verde),15.066667,-23.633333,St. Jacques Santiago (Cape Verde),St. Jacques Santiago (Cape Verde)
St. Jago,15.066667,-23.633333,St. Jacques Santiago (Cape Verde),St. Jacques Santiago (Cape Verde)
St. Lago(?) Island,15.066667,-23.633333,St. Jacques Santiago (Cape Verde),St. Jacques Santiago (Cape Verde)
St. Lawrence Bay,46.8463459,-64.21311,St. Lawrence Cape,Saint Lawrence PE C0B Canada
St. Lawrence Cape,46.8463459,-64.21311,St. Lawrence Cape,Saint Lawrence PE C0B Canada
St. Lawrence Island,63.326105,-170.0183821,St. Lawrence Island,St Lawrence Island Alaska USA
St. Lawrence’s Island,63.326105,-170.0183821,St. Lawrence’s Island,St Lawrence Island Alaska USA
St. Lorenzo,-12.0863918,-77.255244,St. Lorenzo Peru,St. Lorenzo Peru
St. Matthew’s Island,60.4195763,-172.7448382,St. Matthew’s Island,St Matthew Island Alaska USA
St. Nicholas Island,33.2464523,-119.4991693,St. Nicholas Island,San Nicolas Island California 93042 USA
St. Pauls Amsterdam Island,57.1866718,-170.2574745,St. Pauls Amsterdam Island,Saint Paul Island St Paul AK USA
St. Paul’s Island,57.1866718,-170.2574745,St. Paul’s Island,Saint Paul Island St Paul AK USA
Starbuck Island,-5.6436194,-155.8857921,Starbuck Island,Starbuck Island Kiribati
Staten Island (Isla de los Estados) Argentina,-54.8001375,-64.4275752,Staten Island (Isla de los Estados) Argentina,Isla de los Estados Argentina
Stewart’s Island,-46.9972767,167.8372114,Stewart’s Island,Stewart Island / Rakiura Southland 9818 New Zealand
Strait of Le Maire,-54.833333,-64.916667,Strait of Le Maire,Le Maire Strait Argentina
Strait of Sunda,-5.920556,105.885833,Strait of Sunda,Sunda Strait Indonesia
